,sexo,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,posse_de_veiculo_Y,posse_de_imovel_Y
0,M,0,Working,Secondary / secondary special,Married,House / apartment,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False,True,True
1,F,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,False,True
2,M,0,Working,Higher education,Married,House / apartment,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False,True,True
3,F,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,True,False
4,F,0,Working,Secondary / secondary special,Married,House / apartment,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,False,True
5,F,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,False,True
6,M,3,Working,Secondary / secondary special,Married,House / apartment,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False,True,True
7,M,1,Commercial associate,Higher education,Married,House / apartment,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,False,True
8,M,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True
9,F,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,True,True
10,F,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.41643835616439,19.44931506849315,1,0,0,0,3.0,False,False,True
11,F,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,True
12,F,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,False,True
13,F,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,False,True
14,F,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,True
15,F,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,False,False
16,M,1,Working,Secondary / secondary special,Married,House / apartment,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False,False,True
17,F,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,True,True
18,M,0,Working,Secondary / secondary special,Married,House / apartment,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,False,True
19,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,True
20,F,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,True,True
21,M,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,False,True
22,F,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,False,True
23,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False,True,True
24,F,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False,False,False
25,F,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,False,True
26,M,0,Working,Secondary / secondary special,Single / not married,House / apartment,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False,False,True
27,M,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,True,True
28,F,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False,True,True
29,F,1,State servant,Higher education,Married,House / apartment,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False,True,True
30,M,1,Working,Secondary / secondary special,Married,With parents,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False,False,True
31,F,0,Working,Higher education,Civil marriage,House / apartment,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False,False,True
32,M,0,Working,Secondary / secondary special,Married,House / apartment,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False,False,True
33,M,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False,True,False
34,F,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False,False,True
35,F,0,Working,Higher education,Separated,House / apartment,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False,False,True
36,M,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False,True,True
37,F,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,False,False
38,M,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False,False,True
39,F,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False,False,False
40,M,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False,True,False
41,F,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,False,False
42,F,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,False,False
43,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False,True,False
44,M,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,True,False
45,F,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,False,False
46,F,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,False,False
47,F,0,Working,Higher education,Married,House / apartment,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False,False,False
48,F,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,True,False
49,M,0,Working,Incomplete higher,Married,With parents,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False,True,False
50,F,0,Working,Higher education,Separated,Municipal apartment,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False,False,False
51,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False,False,False
52,M,1,Working,Secondary / secondary special,Married,House / apartment,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False,True,False
53,F,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False,False,False
54,M,0,State servant,Higher education,Married,With parents,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,True,False
